x08,x09,x10,x11,x12,x07
0.7,0.6,75,0.5,1.1,180
0.7,0.6,75,0.5,1.1,180
0.7,0.6,75,0.5,1.1,180
0.9,0.5,105,0.25,1.1,180
0.9,0.5,105,0.25,1.1,180
0.9,0.6,105,0.5,1.1,150
0.9,0.6,105,0.5,1.1,150
0.9,0.6,105,0.5,1.1,150
0.9,0.6,105,0.5,1.1,150
0.9,0.5,90,0.5,1.1,120
0.9,0.5,90,0.5,1.1,120
0.9,0.5,90,0.5,1.1,120
0.9,0.4,105,0.5,1.1,90
0.9,0.6,105,0.5,1.1,120
0.9,0.6,105,0.5,1.1,120
0.9,0.6,105,0.5,1.1,120
0.9,0.6,90,0.25,1.1,150
0.9,0.4,105,0.5,1.1,180
0.9,0.4,105,0.5,1.1,150
0.9,0.6,105,0.5,1.1,120
0.9,0.6,90,0.5,1.1,180
0.7,0.4,90,0.25,1.1,180
0.7,0.4,90,0.25,1.1,180
0.7,0.4,90,0.25,1.1,180
0.9,0.6,105,0.5,1.1,90
0.9,0.6,105,0.5,1.1,90
0.9,0.6,105,0.5,1.1,90
0.9,0.6,105,0.5,1.1,150
0.9,0.6,105,0.5,1.1,150
0.9,0.6,105,0.5,1.1,150
0.7,0.6,105,0.5,1.1,150
0.7,0.6,105,0.5,1.1,150
0.7,0.6,105,0.5,1.1,150
0.9,0.6,90,0.5,1.1,120
0.9,0.6,90,0.5,1.1,120
0.9,0.5,105,0.25,1.1,120
0.9,0.5,105,0.25,1.1,120
0.9,0.5,105,0.25,1.1,120
0.7,0.6,90,0.25,1.1,150
0.7,0.6,90,0.25,1.1,150
0.7,0.6,90,0.25,1.1,150
0.7,0.6,90,0.25,1.1,150
0.9,0.4,105,0.5,1.1,90
0.9,0.4,105,0.5,1.1,90
0.5,0.5,105,0.5,1.1,120
0.5,0.5,105,0.5,1.1,180
0.5,0.5,105,0.5,1.1,180
0.5,0.5,105,0.5,1.1,180
0.9,0.6,105,0.5,1.1,180
0.9,0.6,90,0.5,1.1,180
0.9,0.6,90,0.5,1.1,180
0.9,0.6,90,0.5,1.1,180
0.7,0.6,90,0.5,1.1,180
0.7,0.6,105,0.5,1.1,120
