x23;x22;x17;x18;x15;x14;x25;x26;x19;x20;x21;x27;x28;x29;x30;x31;x07
9;90;19;0.5;99.06;8.38;32;0.1;1.1;18;0.5;1.1;1;1;0.9;0.6;91.44
3.5;35;14;0.5;91.44;9.14;26;0.5;0.6;14;0.5;0.7;1;0;1;1;45.72
2.5;25;17;1;76.2;7.62;30;0;0.7;16;0.2;0.6;1;0;1.1;0.8;54.86
7.5;75;16;0.8;83.82;6.1;29;0.3;0.8;11;0.2;0.8;1;0;0.7;0.6;54.86
3.5;35;18;0.9;68.58;8.38;30;0.5;0.9;12;0;0.6;1;1;0.6;0.6;36.58
9;90;14;1;91.44;9.91;28;0.2;0.7;19;0.3;0.8;1;0;0.9;0.8;45.72
5.5;55;14.93;0.6;83.82;6.1;25;0.5;0.6;13;0.4;0.8;1;0;0.6;0.9;91.44
11;110;14.53;1;76.2;6.86;25;0;1.1;18;0.3;1.1;1;0;0.6;1.1;54.86
3.5;35;14.13;0.6;99.06;8.38;30;0.5;0.8;14;0.3;1.1;1;1;0.6;0.9;45.72
2.5;25;13.73;0.5;83.82;6.1;31;0.1;0.6;18;0.4;0.7;1;0;0.7;0.6;73.15
4.5;45;13.33;0.5;91.44;6.86;31;0.3;0.7;20;0.3;1;1;0;0.7;0.6;45.72
4.5;45;12.93;0.7;91.44;8.38;27;0.2;1;19;0.2;0.6;1;1;0.6;1;54.86
4.5;45;12.53;0.6;91.44;8.38;26;0.2;0.6;19;0.2;0.6;1;1;1;0.9;54.86
4.5;45;19;0.8;91.44;8.38;31;0.3;1;12;0.2;0.9;1;1;1.1;1;54.86
4.5;45;14;1;91.44;8.38;26;0;0.9;15;0.5;0.8;1;1;0.7;0.9;54.86
4.5;45;17;0.8;91.44;8.38;28;0.2;0.9;18;0.1;1;1;1;0.6;0.7;54.86
2.5;25;16;0.9;83.82;6.86;28;0.1;0.8;19;0.3;1.1;1;0;1.1;0.8;45.72
2.5;25;18;0.5;83.82;6.86;27;0;1.1;12;0.1;1;1;0;0.6;0.6;45.72
2.5;25;14;0.8;83.82;6.86;29;0.1;1.1;12;0;0.9;1;0;0.9;0.9;45.72
2.5;25;14.93;0.9;83.82;6.86;25;0.4;0.6;18;0.1;1;1;0;1.1;0.7;45.72
2.5;25;14.53;0.8;83.82;6.86;26;0.1;0.7;13;0.4;0.8;1;0;1.1;1;45.72
2.5;25;14.13;0.6;83.82;6.86;31;0.2;0.8;19;0.2;0.9;1;0;0.7;0.9;45.72
2.5;25;13.73;0.5;83.82;6.86;31;0.2;0.8;15;0.3;0.7;1;0;0.9;0.6;45.72
4.5;45;13.33;1;76.2;6.1;26;0.5;0.8;18;0.2;0.8;1;1;1;0.9;54.86
4.5;45;12.93;1;76.2;6.1;29;0.2;1.1;17;0.2;1;1;1;0.7;1.1;54.86
4.5;45;12.53;0.9;76.2;6.1;29;0.2;1.1;13;0.4;0.8;1;1;1.1;0.7;54.86
3.5;35;25;1;83.82;6.86;29;0.4;1.1;10;0;1;1;0;0.9;1;45.72
3.5;35;20;1;83.82;6.86;25;0;1.1;15;0.3;0.9;1;0;0.7;0.7;45.72
3.5;35;20;0.9;83.82;6.86;28;0.1;1;19;0.4;1.1;1;0;0.9;1;45.72
3.5;35;21;0.6;83.82;6.86;32;0;0.6;17;0.1;1.1;1;0;1.1;1;45.72
3.5;35;21;0.7;83.82;6.86;30;0.5;1.1;13;0.3;0.6;1;0;0.7;1;45.72
3.5;35;21;0.9;83.82;6.86;26;0.5;0.9;15;0.1;0.7;1;0;1;0.7;45.72
3.5;35;23;0.7;83.82;6.86;30;0.3;0.9;13;0.3;0.9;1;0;1.1;1.1;45.72
2.5;25;19;0.7;76.2;8.38;30;0.5;0.6;18;0;0.8;1;1;1.1;0.7;54.86
2.5;25;14;1;76.2;8.38;26;0.2;0.6;15;0.5;0.9;1;1;0.7;0.7;54.86
2.5;25;17;0.5;76.2;8.38;32;0.3;0.8;13;0;1;1;1;0.8;0.7;54.86
2.5;25;16;0.7;76.2;8.38;30;0;0.9;10;0;0.9;1;1;1.1;0.6;54.86
4.5;45;18;0.9;83.82;6.86;30;0;0.8;18;0.2;1.1;1;0;1;0.7;45.72
4.5;45;14;0.9;83.82;6.86;31;0.2;0.9;11;0.3;0.9;1;0;1.1;0.8;45.72
4.5;45;14.93;1;83.82;6.86;29;0;0.9;14;0.4;1;1;0;1;1;45.72
4.5;45;14.53;0.7;83.82;6.86;28;0;0.6;14;0.4;1;1;0;1.1;1;45.72
4.5;45;14.13;0.9;83.82;6.86;28;0;0.9;12;0.3;0.6;1;0;0.9;0.7;45.72
4.5;45;13.73;1;83.82;6.86;28;0.1;0.8;20;0.1;0.6;1;0;0.7;0.8;45.72
4.5;45;13.33;0.9;83.82;6.86;28;0.5;0.7;12;0.5;0.9;1;0;1.1;0.7;45.72
4.5;45;12.93;0.6;83.82;6.86;29;0.1;0.7;14;0.4;0.8;1;0;0.7;0.9;45.72
3.5;35;12.53;0.6;53.34;9.91;31;0;5.8;11;0.4;0.9;1;1;1;1.1;54.86
3.5;35;19;0.8;53.34;9.91;27;0.2;5.7;16;0;1.1;1;1;0.6;0.9;54.86
3.5;35;14;0.9;53.34;9.91;27;0;4.7;20;0.3;0.9;1;1;0.6;0.8;54.86
6.5;65;17;0.6;83.82;6.86;28;0.3;0.9;13;0.2;0.9;1;0;0.8;1.1;45.72
6.5;65;16;1;83.82;6.86;25;0.4;0.9;16;0.2;1.1;1;0;0.6;0.8;45.72
6.5;65;18;1;83.82;6.86;29;0;1;14;0;1;1;0;0.9;0.7;45.72
6.5;65;14;0.9;83.82;6.86;28;0;0.8;13;0.1;0.8;1;0;0.6;0.9;45.72
6.5;65;14.93;0.6;83.82;6.86;29;0.4;0.8;20;0.1;0.7;1;0;1.1;1;45.72
6.5;65;14.53;1;83.82;6.86;27;0.1;0.9;16;0.4;0.6;1;0;1;0.6;45.72
6.5;65;19;1;83.82;6.86;28;0.4;0.8;11;0;0.6;1;0;0.6;0.8;45.72
4.5;45;14;0.7;68.58;8.38;25;0.5;0.7;10;0.2;1;1;1;1;0.9;54.86
4.5;45;17;1;68.58;8.38;31;0.3;0.8;13;0.5;0.6;1;1;0.7;0.9;54.86
4.5;45;16;0.8;68.58;8.38;30;0.3;0.8;13;0.2;0.8;1;1;0.6;0.6;54.86
4.5;45;18;0.8;68.58;8.38;32;0.4;1;15;0;0.7;1;1;0.6;1.1;54.86
7.5;75;14;1;68.58;8.38;25;0;0.9;12;0;0.6;1;1;0.6;0.6;54.86
7.5;75;14.93;0.8;68.58;8.38;28;0.3;0.7;16;0.5;1;1;1;1.1;0.8;45.72
7.5;75;14.53;0.9;83.82;6.86;31;0.5;1.1;19;0.1;0.6;1;1;0.6;1.1;45.72
7.5;75;14.13;0.7;83.82;6.86;29;0.3;0.6;18;0.5;1.1;1;0;0.7;0.7;45.72
7.5;75;13.73;0.5;83.82;6.86;32;0;1.1;18;0.3;0.8;1;0;0.6;0.6;45.72
9;90;13.33;0.6;53.34;8.38;27;0.5;0.9;18;0.2;1.1;1;0;0.7;0.7;45.72
9;90;12.93;0.7;53.34;8.38;26;0;0.6;19;0.5;1;1;1;1.1;0.9;45.72
9;90;12.53;0.9;53.34;8.38;26;0.2;0.7;17;0.3;1;1;1;0.9;0.9;45.72
9;90;19;0.8;53.34;8.38;26;0.3;0.8;12;0.4;0.7;1;1;0.7;1;45.72
