x23,x22,x08,x17,x18,x16,x15,x14,x10,x25,x26,x11,x19,x20,x21,x09,x27,x28,x29,x30,x31,x12,x07
9.00,90.00,0.50,19.00,0.50,9.00,99.06,8.38,100.00,32.00,0.10,0.40,1.10,18.00,0.50,0.50,1.10,1.00,1.00,0.90,0.60,1.10,91.44
3.50,35.00,0.90,14.00,0.50,15.00,91.44,9.14,77.00,26.00,0.50,0.10,0.60,14.00,0.50,0.50,0.70,1.00,0.00,1.00,1.00,0.70,45.72
2.50,25.00,0.90,17.00,1.00,8.00,76.20,7.62,89.00,30.00,0.00,0.50,0.70,16.00,0.20,0.60,0.60,1.00,0.00,1.10,0.80,1.00,54.86
7.50,75.00,0.50,16.00,0.80,8.00,83.82,6.10,91.00,29.00,0.30,0.00,0.80,11.00,0.20,0.40,0.80,1.00,0.00,0.70,0.60,0.90,54.86
3.50,35.00,0.70,18.00,0.90,10.00,68.58,8.38,93.00,30.00,0.50,0.30,0.90,12.00,0.00,0.60,0.60,1.00,1.00,0.60,0.60,0.70,36.58
9.00,90.00,0.80,14.00,1.00,12.00,91.44,9.91,98.00,28.00,0.20,0.20,0.70,19.00,0.30,0.50,0.80,1.00,0.00,0.90,0.80,0.70,45.72
5.50,55.00,0.90,14.93,0.60,14.00,83.82,6.10,105.00,25.00,0.50,0.50,0.60,13.00,0.40,0.50,0.80,1.00,0.00,0.60,0.90,0.90,91.44
11.00,110.00,0.90,14.53,1.00,13.00,76.20,6.86,84.00,25.00,0.00,0.20,1.10,18.00,0.30,0.60,1.10,1.00,0.00,0.60,1.10,0.80,54.86
3.50,35.00,0.50,14.13,0.60,10.00,99.06,8.38,102.00,30.00,0.50,0.30,0.80,14.00,0.30,0.50,1.10,1.00,1.00,0.60,0.90,0.90,45.72
2.50,25.00,0.80,13.73,0.50,14.00,83.82,6.10,102.00,31.00,0.10,0.50,0.60,18.00,0.40,0.40,0.70,1.00,0.00,0.70,0.60,1.00,73.15
4.50,45.00,0.50,13.33,0.50,8.00,91.44,6.86,104.00,31.00,0.30,0.00,0.70,20.00,0.30,0.60,1.00,1.00,0.00,0.70,0.60,0.60,45.72
4.50,45.00,0.60,12.93,0.70,14.00,91.44,8.38,81.00,27.00,0.20,0.10,1.00,19.00,0.20,0.40,0.60,1.00,1.00,0.60,1.00,0.90,54.86
4.50,45.00,0.60,12.53,0.60,9.00,91.44,8.38,100.00,26.00,0.20,0.50,0.60,19.00,0.20,0.60,0.60,1.00,1.00,1.00,0.90,0.80,54.86
4.50,45.00,0.50,19.00,0.80,11.00,91.44,8.38,92.00,31.00,0.30,0.40,1.00,12.00,0.20,0.40,0.90,1.00,1.00,1.10,1.00,0.60,54.86
4.50,45.00,0.60,14.00,1.00,9.00,91.44,8.38,85.00,26.00,0.00,0.30,0.90,15.00,0.50,0.50,0.80,1.00,1.00,0.70,0.90,0.60,54.86
4.50,45.00,0.70,17.00,0.80,13.00,91.44,8.38,104.00,28.00,0.20,0.30,0.90,18.00,0.10,0.40,1.00,1.00,1.00,0.60,0.70,0.90,54.86
2.50,25.00,0.70,16.00,0.90,12.00,83.82,6.86,79.00,28.00,0.10,0.50,0.80,19.00,0.30,0.40,1.10,1.00,0.00,1.10,0.80,1.00,45.72
2.50,25.00,0.60,18.00,0.50,12.00,83.82,6.86,90.00,27.00,0.00,0.20,1.10,12.00,0.10,0.50,1.00,1.00,0.00,0.60,0.60,0.70,45.72
2.50,25.00,0.60,14.00,0.80,15.00,83.82,6.86,97.00,29.00,0.10,0.20,1.10,12.00,0.00,0.60,0.90,1.00,0.00,0.90,0.90,1.00,45.72
2.50,25.00,0.80,14.93,0.90,11.00,83.82,6.86,103.00,25.00,0.40,0.50,0.60,18.00,0.10,0.40,1.00,1.00,0.00,1.10,0.70,0.90,45.72
2.50,25.00,0.60,14.53,0.80,8.00,83.82,6.86,79.00,26.00,0.10,0.10,0.70,13.00,0.40,0.40,0.80,1.00,0.00,1.10,1.00,0.60,45.72
2.50,25.00,0.60,14.13,0.60,14.00,83.82,6.86,105.00,31.00,0.20,0.50,0.80,19.00,0.20,0.60,0.90,1.00,0.00,0.70,0.90,1.10,45.72
2.50,25.00,0.50,13.73,0.50,12.00,83.82,6.86,94.00,31.00,0.20,0.30,0.80,15.00,0.30,0.40,0.70,1.00,0.00,0.90,0.60,0.90,45.72
4.50,45.00,0.50,13.33,1.00,9.00,76.20,6.10,89.00,26.00,0.50,0.40,0.80,18.00,0.20,0.40,0.80,1.00,1.00,1.00,0.90,1.00,54.86
4.50,45.00,0.50,12.93,1.00,8.00,76.20,6.10,97.00,29.00,0.20,0.10,1.10,17.00,0.20,0.40,1.00,1.00,1.00,0.70,1.10,0.80,54.86
4.50,45.00,0.70,12.53,0.90,9.00,76.20,6.10,91.00,29.00,0.20,0.40,1.10,13.00,0.40,0.40,0.80,1.00,1.00,1.10,0.70,0.80,54.86
3.50,35.00,0.90,25.00,1.00,9.00,83.82,6.86,88.00,29.00,0.40,0.40,1.10,10.00,0.00,0.50,1.00,1.00,0.00,0.90,1.00,0.80,45.72
3.50,35.00,0.70,20.00,1.00,14.00,83.82,6.86,83.00,25.00,0.00,0.30,1.10,15.00,0.30,0.50,0.90,1.00,0.00,0.70,0.70,0.90,45.72
3.50,35.00,0.80,20.00,0.90,10.00,83.82,6.86,77.00,28.00,0.10,0.10,1.00,19.00,0.40,0.60,1.10,1.00,0.00,0.90,1.00,1.10,45.72
3.50,35.00,0.50,21.00,0.60,13.00,83.82,6.86,93.00,32.00,0.00,0.40,0.60,17.00,0.10,0.40,1.10,1.00,0.00,1.10,1.00,1.10,45.72
