R1?	1	H	H	H	1	0	0
R2?	1	H	H	M	0.9877	0.0123	0
R3?	1	H	H	L	0.9753	0.0247	0
R4?	1	H	M	H	0.3827	0.6173	0
R5?	1	H	M	M	0.3704	0.6296	0
R6?	1	H	M	L	0.358	0.642	0
R7?	1	H	L	H	0	0.7654	0.2346
R8?	1	H	L	M	0	0.7531	0.2469
R9?	1	H	L	L	0	0.7407	0.2593
R10	1	M	H	H	0.6296	0.3704	0
R11	1	M	H	M	0.6173	0.3827	0
R12	1	M	H	L	0.6049	0.3951	0
R13	1	M	M	H	0.0123	0.9877	0
R14	1	M	M	M	0	1	0
R15	1	M	M	L	0	0.9877	0.0123
R16	1	M	L	H	0	0.3951	0.6049
R17	1	M	L	M	0	0.3827	0.6173
R18	1	M	L	L	0	0.3704	0.6296
R19	1	L	H	H	0.2593	0.7407	0
R20	1	L	H	M	0.2469	0.7531	0
R21	1	L	H	L	0.2346	0.7654	0
R22	1	L	M	H	0	0.642	0.358
R23	1	L	M	M	0	0.6296	0.3704
R24	1	L	M	L	0	0.6173	0.3827
R25	1	L	L	H	0	0.0247	0.9753
R26	1	L	L	M	0	0.0123	0.9877
R27	1	L	L	L	0	0	1
